expression,llm_kappa,human_kappa,llm_alpha,llm_beta,hum_alpha,hum_beta
it goes without saying that,7.9198629132530725,16.5352659513366,7.681133286693065,0.23872962656000785,16.263201981874484,0.2720639694621153
absolutely,0.5728505859446446,0.5053792332126281,0.43801948520596656,0.13483110073867796,0.381787237200129,0.12359199601249907
most likely,10.16329443413466,63.95565597732661,8.43479164018533,1.728502793949331,44.69206828912646,19.263587688200147
to the best of my knowledge,4.032185985011367,54.38589858293463,3.390854360495905,0.641331624515462,37.64577307115569,16.740125511778942
likely,12.901886836579209,10.562413985102541,9.377058330195926,3.5248285063832823,6.441843310625882,4.120570674476659
I am inclined to think,14.975660557107496,19.108082580076346,7.838341350078413,7.137319207029082,7.0523975497911415,12.055685030285204
may,2.0099664412166036,1.2735765746010408,1.5979522623896765,0.412014178826927,0.8628971318104315,0.41067944279060936
according to some scholars,4.583275377368199,71.77644552254088,4.245234734761256,0.3380406426069428,50.27893254844064,21.497512974100243
I am not sure,4.186408724288816,7.656966682277631,1.7940254256473547,2.3923832986414615,2.5111557225812646,5.145810959696367
definitely,8.892472991859918,25.833193662599783,8.615693980037832,0.27677901182208514,25.560680974507722,0.2725126880920606
it seems,10.055161395099233,20.268268638186434,7.672874017219857,2.382287377879377,13.569384029648118,6.698884608538318
undoubtedly,14.661136468793702,58.653621064522845,14.329795029582455,0.3313414392112462,58.40379218555689,0.24982887896595363
it seems that,7.564394047061106,61.46835153326105,5.999487556633311,1.5649064904277952,42.50842701544234,18.959924517818713
would,5.27943459245876,12.023307012704679,3.0673066511778573,2.212127941280902,4.313016639925225,7.710290372779454
my understanding is,5.114236255703677,32.53740204870978,3.914364344310561,1.199871911393116,22.274822943720647,10.262579104989134
might,15.23501511274705,11.106921287912332,9.078771548491432,6.156243564255618,3.910721833913504,7.196199453998829
fairly certain,29.63288973826215,59.108977279875596,25.036819738179272,4.596070000082879,41.6336250075119,17.475352272363693
should,3.015406258810036,64.47111200505266,2.619899027863028,0.39550723094700824,45.57492331014049,18.89618869491217
I'd say,9.678619653308864,5.763719379202222,6.546388054382315,3.1322315989265497,3.239489574164657,2.5242298050375647
reportedly,4.638016964529598,48.117455513160344,4.3024617010573065,0.3355552634722913,34.89908166572251,13.218373847437832
as far as I can tell,5.330824680467332,13.550825604019298,4.117668684634931,1.2131559958324012,8.60661985945198,4.944205744567319
suggest,2.2596273957796598,5.336338353526191,1.5643925073269287,0.6952348884527308,2.577080591829646,2.7592577616965452
highly likely,31.79870675073204,65.22367199472548,29.35520961709806,2.4434971336339832,46.87554962377591,18.34812237094957
it appears,1.709835781820685,62.10649196810952,1.3545390522025182,0.3552967296181667,41.367505487677,20.73898648043252
approximately,12.046247409120244,8.98584611122137,8.870899856393681,3.175347552726564,5.476189499863674,3.509656611357697
fairly confident,23.54172497756358,66.13237974163752,19.134147138740534,4.407577838823044,47.19458823873113,18.9377915029064
very likely,12.425761967025762,85.33947275317391,10.548390209289712,1.8773717577360496,60.44336406955941,24.8961086836145
inclined to,10.472859044689994,14.68013271456353,7.812168843919506,2.660690200770487,8.56225731536544,6.11787539919809
reasonably certain,23.559503304384386,95.9590526239684,19.327296117600554,4.23220718678383,68.82484541239921,27.13420721156919
my impression is,11.097524173037765,76.13755006314562,5.5393183543131315,5.558205818724635,29.683570671737876,46.45397939140774
based on current evidence,4.398589115153629,62.34415087395647,4.009205975480375,0.38938313967325383,44.198057833598355,18.146093040358117
if I am not mistaken,11.16982983553545,332.29461970186014,8.31268685251276,2.85714298302269,237.03398933006602,95.2606303717941
if I'm not mistaken,10.234613832212606,7.654526235277878,6.985511286622272,3.2491025455903344,4.375701854512519,3.2788243807653594
not completely,17.422283237289875,35.19332906992251,10.258746324497006,7.1635369127928685,12.088205191864962,23.105123878057547
about,1.4645407304329172,0.8597103041932379,0.9699286493152495,0.49461208111766786,0.3940354606982198,0.4656748434950181
I would guess,6.029334934107995,8.792630666596558,3.2879632233467335,2.741371710761261,2.904694203764894,5.8879364628316635
suggests that,7.767557823557207,108.18826133942224,6.555105180347929,1.2124526432092788,73.20668157163888,34.98157976778335
perhaps,10.20804672122179,11.543300098204462,4.653903425802012,5.554143295419777,2.816482187029047,8.726817911175415
could be,15.379511902020074,15.529515533166428,8.715151701736755,6.664360200283318,4.85009053985829,10.679424993308137
it could be,14.922350942798221,21.455870427015142,8.667676657370599,6.254674285427623,7.085549318735665,14.370321108279478
it might be,15.046972211460222,17.504408573377418,7.912834903721066,7.134137307739157,4.9345771952779955,12.569831378099423
could,10.664848588285306,16.551790022353416,5.723542293220214,4.941306295065093,5.217795575662537,11.333994446690879
it's possible that,20.6208258324457,43.35932914827081,12.215729350521816,8.405096481923884,14.521592045240988,28.837737103029824
there is a chance that,16.02535509396969,40.970624315506356,9.89107001342377,6.1342850805459195,13.639825229074681,27.330799086431675
I have a feeling,21.882985979445486,24.834630080152227,13.179091796671631,8.703894182773853,7.907362147355992,16.927267932796234
certainly,19.03559414796053,24.13036532871622,18.711362424759002,0.32423172320152915,23.81140189955819,0.31896342915802933
quite likely,18.170938867061647,63.31856164246729,14.235511927357775,3.9354269397038726,42.936469627232114,20.382092015235177
roughly,12.290523645377617,24.33238190381888,5.012082248250521,7.278441397127096,4.413838268327209,19.918543635491673
without a doubt,20.73906179938711,49.38345706270357,20.51132819531981,0.22773360406730053,49.084852207589634,0.29860485511393425
positive,4.487999322327541,7.2408982018533194,3.2233158086210247,1.2646835137065158,3.4384615397165903,3.8024366621367287
probably,10.773344779325017,8.070936341782648,7.484526026114052,3.288818753210965,4.924046883799456,3.1468894579831916
to my knowledge,3.401323563591932,11.354099018724424,2.8516646057304884,0.5496589578614433,7.361232378607812,3.992866640116613
can,7.980972639149343,5.818326442323224,5.662422184457416,2.3185504546919264,3.280073026051422,2.5382534162718016
I am confident that,18.200852085000623,55.46575555368348,16.054017553812894,2.14683453118773,40.72787923769921,14.737876315984263
for sure,20.46022494546434,19.16688645692345,10.520040366338678,9.940184579125662,3.36272035405398,15.804166102869472
around,4.420718892509894,8.752185591720469,2.532545367265146,1.8881735252447487,3.2841076508997644,5.468077940820705
shall,4.5894369211955155,6.070829515568434,3.4552658540054235,1.134171067190092,3.5524681540510947,2.5183613615173392
I guess,6.64893503054085,12.830258856684772,3.370524659202836,3.2784103713380133,4.917842949597569,7.912415907087204
I would venture to say,60.708687574452355,141.88670052765823,39.4270544651054,21.281633109346952,49.311667518438846,92.57503300921938
it might be that,47.897614860289735,36.41130721153826,28.16971622812756,19.727898632162177,13.107969610864288,23.303337600673967
almost certain,3.897410028045474,3.3422105955138974,3.3063944484724894,0.5910155795729847,1.9241692436360172,1.41804135187788
univocally,18.176025479577152,14.548772306653564,17.934999979980788,0.2410254995963661,14.278764510324029,0.27000779632953603
it could be that,16.338259244640742,16.71768914707108,8.5437465440135,7.7945127006272426,5.273297612346316,11.444391534724764
quite,11.754690896785014,18.824938233887185,10.469882373938962,1.2848085228460533,12.922244805283652,5.9026934286035315
associated with,3.1171362860199756,76.60342044929038,2.6719329068413624,0.4452033791786133,54.40051959795523,22.20290085133515
uncertain,12.750769225461202,21.846820708519775,5.718369534756377,7.032399690704825,4.303926318515476,17.5428943900043
I am certain,19.473274445213196,13.712985942965219,19.256725921419218,0.2165485237939783,13.312824572316426,0.400161370648793
possibly,14.849460126064326,20.30506001002503,8.208457636861915,6.641002489202411,6.543985560151366,13.761074449873666
may be,11.567072042492356,30.973218937924205,6.083947092594097,5.483124949898259,8.947060660434158,22.026158277490048
if memory serves,9.587136835262376,9.616571705763146,6.558429600208941,3.0287072350534348,5.746993626712512,3.869578079050634
it's conceivable that,19.151646169719907,22.488991805191077,10.717854096254193,8.433792073465714,2.866321465126804,19.62267034006427
tentatively,6.0223079798167864,12.943374412772389,3.465811066096149,2.5564969137206375,3.62054403189143,9.322830380880959
confirmed,1.8353051894395234,0.8276705995583664,1.4713327395556788,0.36397244988384453,0.6438036628164554,0.18386693674191096
without question,16.293856748513246,8.11215255271584e+27,16.01256186891026,0.28129487960298655,8.111341337460568e+27,8.112152552715003e+23
vague,19.222093183291804,33.963226372619076,10.295779753406553,8.92631342988525,12.031113016610593,21.932113356008482
no doubt,15.483754092546938,15.890427416606409,15.08475181246943,0.39900228007750926,15.665358920081284,0.22506849652512506
from what I gather,3.867886776697426,82.76445010968189,3.092382694785073,0.7755040819123524,58.39198151127252,24.372468598409377
indicates,6.780330875785735,50.316492590566035,6.168929211923023,0.6114016638627121,35.56483826999227,14.751654320573762
it appears that,6.357984346709493,56.16460651512246,5.57566395375788,0.7823203929516133,39.18966459648792,16.97494191863454
strongly suggests,31.35078363790739,239.49720929961444,29.211633729902065,2.139149908005327,160.45896822254872,79.03824107706573
reliable,4.014604264264297,1.3253868979323138,3.132034521391216,0.8825697428730808,0.4247265257616799,0.9006603721706339
confidently,2.8485364503961352,0.5178573115501963,2.0580251159999987,0.7905113343961366,0.22595755419834995,0.2918997573518464
I would suggest,1.1523443517443979,280.72239697469934,0.8013961652631776,0.3509481864812203,115.10064540721783,165.62175156748148
is believed to,16.22801820600246,189.33780937073828,12.220147864450587,4.007870341551875,139.30433294184388,50.03347642889439
highly probable,14.65297921408436,49.46184898873526,13.387853080627162,1.2651261334571977,35.0187494298105,14.443099558924763
there is consensus that,18.41938297797366,128.8464764868666,16.5092912490267,1.9100917289469614,94.77538874846765,34.071087738398965
with certainty,9.623019445708726,14.253005898750164,9.2776667512191,0.3453526944896274,14.018853863148035,0.23415203560212872
something like,8.657419302406701,36.22411522173351,4.091742091850087,4.565677210556615,9.951795096847821,26.272320124885695
linked to,6.132923173449079,45.955532168981186,4.38830678586777,1.7446163875813092,31.70855717433874,14.246974994642448
appear to,6.462864399791426,210.08607845944812,5.728498063058586,0.7343663367328402,157.56974765111374,52.51633080833437
indicates that,9.242787719041697,4.205020982839706,8.706949134272268,0.5358385847694301,3.212425952870879,0.9925950299688268
seem to,23.361105202976148,37.12567401863919,14.477337101871404,8.883768101104742,14.0805073479189,23.045166670720285
totally,88.80024778590541,10.32911090239271,55.688054634713794,33.112193151191626,2.6506548759647064,7.678456026428003
very,7.537199466366941,20.84054747739903,3.0972953336263744,4.439904132740566,3.833112543798682,17.00743493360035
it is certain that,2.9610150238848854,3.140535389335357,2.760395701735682,0.2006193221492035,2.8316382666800983,0.30889712265525887
typically,3.730045772208811,48.86652429087987,3.295548397773483,0.4344973744353281,34.75717743086912,14.109346860010753
hesitant,19.244649833634824,22.86129919470674,10.396762608420353,8.847887225214473,6.303183497373606,16.558115697333132
unquestionably,5.981728441700782,16.830596591953135,5.693273080890239,0.28845536081054296,16.590004802251812,0.2405917897013217
I am reasonably confident that,14.6727180357773,62.95021646594617,11.440641664365,3.2320763714123,43.52580308140963,19.424413384536543
presumably,11.361922276675147,84.44425954388552,7.535356908562662,3.8265653681124845,56.72109337109504,27.72316617279048
other,1.2691837605200833,1.542688337661744,0.8770025999320463,0.392181160588037,0.7585677176990507,0.7841206199626933
potentially,16.01462147324614,13.99477723916477,8.635314940014982,7.3793065332311585,4.003301787242595,9.991475451922176
I suspect,11.495451235716555,28.281037925180517,6.974964442348836,4.520486793367718,9.555288912631589,18.725749012548928
apparently,12.062472749802904,60.96042163364466,9.549672888409598,2.5127998613933067,44.19549974696705,16.764921886677605
or so,2.1570227540517273,2.900281116955802,1.0782619700478802,1.0787607840038471,1.130506357172964,1.7697747597828377
some doubt,229.36856168168742,78.34940281045193,143.59721452343481,85.77134715825261,30.82713839250445,47.52226441794748
granted,18.90618892800603,196.39002658236515,8.296542835319759,10.60964609268627,41.24578927760762,155.14423730475752
almost,11.412861658689204,76.59221108037016,2.424851221758063,8.988010436931141,12.261336237073236,64.33087484329693
generally,7.58937095908809,38.163134964998065,7.005973406988158,0.5833975520999322,26.3680882679427,11.795046697055362
speculative,33.71166966160646,52.30482862579943,18.109737735759776,15.60193192584668,8.536274086243667,43.768554539555765
it is likely that,14.879519003486815,2655.2885204953227,10.980528894026149,3.898990109460666,2044.572220109838,610.7163003854848
my sense is,21.96609989620564,91.94097222325192,13.777348669676913,8.188751226528728,37.231025658229434,54.70994656502249
I am unable to answer,4.885360308157989,21.447804209060465,4.452445144352814,0.43291516380517486,0.4225717538967805,21.025232455163685
I would say,32.981467686307866,8.35226337254134,19.211349475100818,13.770118211207052,3.6135210746953055,4.738742297846035
I am fairly confident that,28.344871681470686,70.7484338181844,23.233754244188994,5.11111743728169,52.00173736246452,18.74669645571988
in all likelihood,9.213760476901413,82.08220342530383,7.879680984610974,1.33407949229044,57.109140470296644,24.973062955007187
ostensibly,3.8152167624019935,45.95557265563066,3.231592262879219,0.5836244995227744,32.33099965235389,13.624573003276769
a bit,155.8761927560723,110.30275107371384,98.23174888277886,57.64444387329345,41.554461451708214,68.74828962200563
only,6.960633052235348,159.74526604934726,5.577415857701573,1.3832171945337748,117.57097676673956,42.17428928260772
preliminary,11.343889828658202,343.68475754026684,3.3956470417333553,7.948242786924847,72.16915685943762,271.5156006808292
almost certainly,11.410210956781722,67.96333710287428,10.479706646891014,0.9305043098907083,46.530060529159,21.43327657371527
in my opinion,5.586197841309714,41.048605648096014,4.586108793132616,1.0000890481770979,29.686797398650754,11.361808249445259
commonly,3.6746330127815687,79.57659408595991,3.2479021133718287,0.4267308994097403,54.75541285590478,24.82118123005513
I reckon,14.020532332576728,274.6999146190168,9.662355868066687,4.358176464510041,207.8511315788945,66.8487830401223
specifically,10.4097769498279,3.8536578663235094e+30,10.049626702586304,0.3601502472415976,3.660974973007332e+30,1.9268289331617685e+29
completely,0.4742626700712863,0.4404189293600366,0.24301218597558277,0.2312504840957035,0.22190405523853104,0.21851487412150558
I am unsure,15.043538619194276,33.36617864234201,7.3720309599106795,7.671507659283597,11.783461876453584,21.582716765888424
there's a chance that,31.75408265628813,30.20529631290617,20.014961847343443,11.739120808944687,10.98138722354726,19.223909089358912
I have a hunch,6.343051055044938,91.83023253085118,3.4813053354538774,2.8617457195910614,26.02739602185549,65.80283650899568
vaguely,21.175363927188474,113.51313404708571,10.53664773457176,10.638716192616714,37.17237177771168,76.34076226937404
potential,1.5755206372263355,0.8251763031996265,1.2466295785386508,0.32889105868768476,0.5977287595428463,0.22744754365678022
conceivably,10.67947967744418,64.22363004815108,3.6282519837841845,7.051227693659995,6.1010458643295555,58.12258418382153
not fully,40.689378817258344,18.59511116953925,22.067721742477282,18.62165707478106,6.033624242195842,12.561486927343408
somewhat,24.023198727077457,83.64640443972976,10.993480932038745,13.02971779503871,32.0653029665317,51.58110147319807
extremely,17.02645025619705,21.881058441775018,6.827979893141975,10.198470363055076,2.797848142026223,19.083210299748796
unclear,19.795426951413194,96.48167828328184,11.654973924938933,8.140453026474262,40.19388490343068,56.28779337985116
although,23.397050843818427,205.0408949884962,13.345261541924163,10.051789301894262,43.7429032950366,161.2979916934596
I suppose,42.50846923175436,40.29399028580877,22.15280945701838,20.355659774735987,13.297677884122146,26.99631240168662
