expression,n_items,llm_n,human_n,llm_std,human_std,llm_cv,human_cv,llm_var,human_var
as far as I know,58,522,198,0.15076008356025933,0.05875967651952553,0.19042641692869816,0.08430736196279749,0.02272860279509637,0.0034526995846792803
doubtful,1,9,3,0.09623972383815554,0.05131601439446884,0.29016030100948037,0.30789608636681304,0.009262084444444445,0.002633333333333333
from what I understand,19,171,62,0.1511749228553122,0.06507775116318097,0.1922830053722675,0.09283986590237507,0.02285385730030959,0.004235113696456902
it goes without saying that,3,27,9,0.05522551538788525,0.02291287847477922,0.056955267970699074,0.02330123234723311,0.0030498575498575506,0.0005250000000000009
absolutely,5,45,15,0.2619966072723504,0.4013050140301193,0.29313394647577745,0.5028884887595481,0.06864222222222222,0.16104571428571426
most likely,31,279,104,0.1102197494324493,0.05709279620618329,0.13292311229840142,0.0817070428711031,0.012148393164951908,0.0032595873786407767
to the best of my knowledge,37,333,127,0.13608698219959936,0.06215226976483148,0.16351686217285086,0.08979907008115584,0.018519666724194073,0.0038629046369203853
likely,20,180,66,0.1120487823010401,0.150089017875104,0.15469347681902165,0.243866941894556,0.012554929615145875,0.02252671328671329
I am inclined to think,2,18,6,0.13049893308356095,0.11764352935882194,0.2491045097409352,0.3179554847535729,0.017029971535947715,0.01384
may,23,207,73,0.19607395490343227,0.2849610777448881,0.2555800216555963,0.4583992656539627,0.03844499579147319,0.08120281582952817
according to some scholars,7,63,22,0.09205359914314798,0.054900539742968504,0.0997598066863167,0.07837844739424446,0.008473865115207375,0.003014069264069264
I am not sure,13,117,43,0.18402777805559725,0.16277391940114147,0.4076274738314736,0.4988794393620159,0.03386622309608016,0.026495348837209304
definitely,6,54,18,0.049023028181696654,0.016967866593417882,0.05061912415768346,0.017148882576166306,0.0024032572921034246,0.00028790849673202663
it seems,24,216,78,0.12237506757645156,0.10516316232070387,0.16073935438501155,0.15615318220093094,0.014975657164341086,0.011059290709290709
undoubtedly,4,36,12,0.02412105712495614,0.009962049198956227,0.024690305843003163,0.010003731413177803,0.0005818253968253973,9.924242424242439e-05
it seems that,23,207,80,0.12591647942511958,0.058744242917492494,0.15925725504416818,0.0849519058821294,0.015854959790816563,0.0034508860759493673
would,20,180,63,0.17812088523436231,0.13289829180686172,0.3079302512114384,0.3719499059898838,0.03172704975667287,0.017661955965181768
my understanding is,47,423,157,0.16338117272562674,0.08345618904035403,0.2147891541728971,0.12163592349921631,0.026693407601201077,0.006964935489139308
might,23,207,76,0.11763383039461012,0.13911928492698808,0.19754417901526863,0.4007985464158868,0.013837718053307899,0.019354175438596494
fairly certain,32,288,109,0.06700894295485653,0.05913523378627607,0.07929166189100612,0.08396171007820881,0.004490198435927216,0.0034969758749575264
should,19,171,65,0.14917522162137395,0.057034065394153836,0.17248197451040742,0.08067930904504896,0.02225324674578603,0.003252884615384616
I'd say,38,342,132,0.13496752177224042,0.1987100431278694,0.20063596714683773,0.34713771430490686,0.01821623193334019,0.03948568123987972
reportedly,3,27,9,0.08943223492608603,0.06984108946585656,0.09678619327832627,0.0962587756803536,0.007998124643874642,0.0048777777777777795
as far as I can tell,4,36,13,0.13606635644839932,0.13652744628734398,0.17852767659615695,0.2143546861999362,0.01851405335714286,0.018639743589743595
suggest,5,45,16,0.24826689212875874,0.21484781435549521,0.36545307523295956,0.4435567780242482,0.06163644972727273,0.04615958333333334
highly likely,6,54,23,0.0541871030630424,0.05675340180641854,0.058668743166000785,0.07896722574395804,0.002936242138364779,0.0032209486166007908
it appears,5,45,17,0.1686014965724345,0.060317785885405706,0.19359702336717405,0.09058324735440786,0.028426464646464644,0.0036382352941176474
approximately,5,45,18,0.12152074923629089,0.16543169907494612,0.16511021215743676,0.2675445268058428,0.014767292494949492,0.027367647058823528
fairly confident,24,216,84,0.08169785551676309,0.056093290664765205,0.1004668261051449,0.07859610368374108,0.006674539596037898,0.0031464572576018353
very likely,6,54,18,0.09678296620361358,0.05101902759236585,0.11407032377112801,0.07202686248334002,0.009366942547169809,0.0026029411764705883
inclined to,5,45,17,0.11713789715329087,0.13084004603736127,0.1577789496150143,0.22265072899250665,0.013721286949494949,0.01711911764705882
reasonably certain,2,18,7,0.08141919286826822,0.048550415622761245,0.0992244733668807,0.06769978274090215,0.006629084967320259,0.002357142857142859
my impression is,2,18,6,0.15061638064183808,0.060332412515993424,0.30427551644815776,0.1546984936307524,0.022685294117647057,0.0036399999999999996
based on current evidence,12,108,40,0.0935483264066527,0.058432516413029614,0.1032521129475574,0.08241539691541554,0.008751289373485635,0.003414358974358975
if I am not mistaken,1,9,3,0.1397318861248212,0.0305505046330389,0.18714091891717125,0.0428278102332321,0.019525,0.0009333333333333314
if I'm not mistaken,20,180,68,0.11978343282495124,0.17764895937095673,0.17715555436546404,0.3085601337733093,0.014348070779329607,0.03155915276558384
not completely,8,72,28,0.11466224783186499,0.08074717221120391,0.19489840019203233,0.2350229544608846,0.013147431077856027,0.00652010582010582
about,7,63,25,0.25551497628913833,0.34615603418111895,0.3949410930618124,0.9447490015860234,0.06528790310803892,0.119824
I would guess,9,81,28,0.1789878665795982,0.15603554065369193,0.33261411240562105,0.4769645347492767,0.03203665638271605,0.024347089947089947
suggests that,1,9,3,0.1185795560419717,0.05507570547286102,0.14097965711727153,0.0813926681864941,0.01406111111111111,0.003033333333333333
perhaps,18,162,59,0.14972210163872476,0.12205645856145184,0.32808878444696143,0.49870713678155515,0.022416707719116632,0.01489777907656341
could be,28,252,92,0.12044965479050296,0.10770640137113983,0.21229923305887877,0.3426344718583979,0.014508119339151334,0.011600668896321073
it could be,12,108,40,0.1250369397642106,0.0928798507032966,0.21497126197071595,0.27975858645571267,0.015634236305598827,0.008626666666666666
it might be,13,117,42,0.12539901064213596,0.1041998437293319,0.23784579319242397,0.3690045056182073,0.015724911870026528,0.01085760743321719
could,10,90,32,0.1473125622189622,0.10777627664032383,0.2744880696732096,0.3401223720404697,0.021700990987515607,0.011615725806451612
it's possible that,24,216,80,0.10444119430487883,0.07094301510652802,0.17638327942259127,0.21177019434784483,0.010907963067829455,0.005032911392405063
there is a chance that,7,63,23,0.11843691913691498,0.07605126209605703,0.1917839172368624,0.22865085336069438,0.014027303814644137,0.005783794466403162
I have a feeling,5,45,18,0.10298855761685373,0.0959932595672891,0.17092023547047633,0.30154950649410195,0.010606642999999999,0.00921470588235294
certainly,2,18,6,0.02136670184451543,0.016329931618554533,0.021741132459088628,0.01655060637015662,0.0004565359477124191,0.0002666666666666671
quite likely,3,27,10,0.1009446126091671,0.061064628786957266,0.12871331950165346,0.09006582416955349,0.010189814814814816,0.0037288888888888897
roughly,1,9,4,0.1455411892825456,0.07804912982645397,0.3621728933953357,0.4276664648024875,0.021182237777777772,0.006091666666666666
without a doubt,8,72,25,0.020081504504423718,0.009574271077563389,0.020304287660700852,0.009632063458313267,0.0004032668231611901,9.166666666666682e-05
positive,5,45,15,0.1810142120097064,0.1882424981114469,0.2557701402131027,0.3982563429720315,0.032766144949494945,0.03543523809523809
probably,36,324,120,0.12837259368757528,0.160291750811298,0.185053267094504,0.25729012971315895,0.01647952281007529,0.02569344537815126
to my knowledge,8,72,27,0.1485490311174433,0.14505525030492913,0.17939651020984607,0.22127072080412918,0.022066814645931142,0.021041025641025644
can,15,135,52,0.1427090339441228,0.19099288086990684,0.20226052557905952,0.3295165827881605,0.020365868369264788,0.03647828054298643
I am confident that,8,72,27,0.07621430865076609,0.06141494013507522,0.08639377520573645,0.08362094723383917,0.005808620843114239,0.0037717948717948735
for sure,6,54,18,0.1080946449697628,0.08678724643512345,0.20987591159157462,0.4943577328582981,0.011684452271139066,0.007532026143790849
around,13,117,41,0.20493659804316708,0.16035212776277333,0.36244330728936036,0.43167677204686195,0.04199900921750663,0.02571280487804878
shall,2,18,8,0.18870311952975613,0.21240123755356446,0.252160780948732,0.3600020975484144,0.03560886732026143,0.04511428571428572
I guess,11,99,37,0.18632385347988234,0.1332184189485341,0.3655356388035684,0.35032562196842654,0.034716578375592666,0.017747147147147143
I would venture to say,1,9,4,0.06508354460059607,0.046457866215887836,0.10019875492317086,0.13369170134068442,0.004235867777777777,0.0021583333333333324
it might be that,2,18,7,0.07364708483419533,0.08544003745317531,0.12513073569397265,0.23733343736993148,0.005423893104575163,0.007300000000000001
almost certain,7,63,24,0.1986675077044848,0.2440060435222094,0.22812371020943226,0.3970267826802051,0.03946877861751153,0.05953894927536234
univocally,3,27,9,0.021661735138967284,0.024209731743889937,0.021954461289493868,0.024675830769536743,0.00046923076923077,0.0005861111111111121
it could be that,8,72,25,0.12095190134660297,0.09973631902839274,0.2312919973588288,0.313242208003746,0.014629362439358376,0.009947333333333334
quite,9,81,31,0.10429732642490273,0.11250137394620986,0.11680626832569824,0.16312173023070656,0.010877932299382715,0.012656559139784947
associated with,2,18,6,0.14935058691032158,0.05513619500836089,0.176587200508798,0.07765661268783224,0.022305597810457517,0.0030399999999999997
uncertain,9,81,28,0.13615427217265053,0.08108637370113427,0.30430337709639793,0.41056391747409754,0.018537985830864197,0.006574999999999999
I am certain,1,9,3,0.02204792759220494,0.026457513110645932,0.02229565711571286,0.027275786712006114,0.00048611111111111196,0.0007000000000000013
possibly,22,198,71,0.12518149030508025,0.09698451410330995,0.22584844378347602,0.2997779930925122,0.015670405515000898,0.009405995975855128
may be,2,18,6,0.14833405518661108,0.09086620200419224,0.28225133919246903,0.31514289712436616,0.022002991928104582,0.008256666666666669
if memory serves,10,90,34,0.1192916153565791,0.15988214242134935,0.1764364365468175,0.26555900548734135,0.014230489494382019,0.02556229946524064
it's conceivable that,1,9,4,0.11816701574936685,0.08015609770940699,0.21112982246968587,0.6286752761522116,0.013963443611111114,0.006425
tentatively,3,27,12,0.19241771134961988,0.1203656046712631,0.3333191034831256,0.4273335077086264,0.03702457564102564,0.014487878787878793
confirmed,2,18,6,0.1883650486049567,0.34123305818750915,0.24735151376175238,0.49454066403986835,0.035481391535947704,0.11644000000000002
without question,4,36,13,0.022472205054244247,0.0,0.02287247333765318,0.0,0.0005050000000000007,0.0
vague,8,72,26,0.11201045191422168,0.08193806291245939,0.20893899099511282,0.2310617826164799,0.012546341338028167,0.006713846153846153
no doubt,2,18,7,0.022104943551426805,0.02439750182371335,0.022703172137243162,0.024751088806665714,0.0004886285294117655,0.0005952380952380963
from what I gather,6,54,18,0.1410241709759038,0.05170302326149879,0.17961218607922919,0.07327987548873843,0.019887816799440947,0.002673202614379085
indicates,9,81,30,0.08608164262797767,0.06402226624161819,0.0948785214412619,0.09059754656832764,0.007410049197530862,0.004098850574712645
it appears that,18,162,62,0.10463852122532886,0.061415525212897906,0.11978614470140292,0.08802040136846208,0.0109492201242236,0.003771866737176099
strongly suggests,2,18,6,0.04395853661322758,0.03346640106136301,0.04718268688360742,0.04994985233039255,0.0019323529411764697,0.0011199999999999995
reliable,2,18,6,0.2117474843396799,0.372827037646145,0.26736543660836715,1.0356306601281804,0.044836997124182994,0.139
confidently,3,27,9,0.2114552575036287,0.47613315131145584,0.30112616971687334,1.4189398549016896,0.04471332592592592,0.22670277777777773
I would suggest,1,9,3,0.27694764848252457,0.0360555127546399,0.4641580700824434,0.08794027501131682,0.0767,0.0013000000000000002
is believed to,2,18,7,0.08912527204809563,0.0340867241298539,0.11883897779647404,0.04633146969106355,0.007943314117647057,0.001161904761904764
highly probable,3,27,10,0.09077695654986369,0.06795423296438405,0.09910949562662029,0.09598055503444075,0.008240455840455841,0.004617777777777779
there is consensus that,3,27,9,0.07050085368540135,0.04096068575814836,0.0786579772523073,0.05568673290382707,0.004970370370370369,0.0016777777777777778
with certainty,1,9,3,0.047958315233127206,0.028867513459481315,0.04978371823508014,0.029356793348625065,0.002300000000000001,0.0008333333333333349
something like,2,18,6,0.16317968132918023,0.07918333157931662,0.340284563171246,0.2879393875611514,0.026627608398692812,0.0062699999999999995
linked to,1,9,4,0.17380784728480408,0.07874007874011812,0.2446122105995773,0.11411605614509875,0.030209167777777775,0.0062000000000000015
appear to,1,9,3,0.07483314773547882,0.036055512754639925,0.08503766788122594,0.04807401700618657,0.005599999999999999,0.0013000000000000023
indicates that,7,63,28,0.059819664133977664,0.10816103514579327,0.06358425578607378,0.14595224019673306,0.003578392217101894,0.011698809523809528
seem to,6,54,18,0.09361613952366955,0.0808391447274242,0.1513536225397946,0.2130460622391853,0.008763981579315164,0.006534967320261437
totally,2,18,6,0.05234011851855083,0.13977362650609973,0.08346005451076911,0.5410591993784505,0.002739488006535948,0.019536666666666664
very,8,72,24,0.17300004070100927,0.09321550533458804,0.4211025517832508,0.510769892244318,0.029929014082550862,0.00868913043478261
it is certain that,6,54,19,0.12728679843803037,0.12906999778215456,0.13685771461332202,0.14433960905597035,0.01620192905660377,0.01665906432748538
typically,2,18,8,0.1203484184776242,0.06895909760761915,0.1374973997205481,0.09695479452740828,0.014483741830065358,0.0047553571428571445
hesitant,5,45,17,0.11250246224017062,0.09440993217939332,0.20802628165249082,0.3422108415884193,0.012656804010101014,0.008913235294117647
unquestionably,3,27,9,0.09688745784248592,0.02185812841434002,0.1015118883099387,0.02217848429865391,0.009387179487179487,0.00047777777777777863
I am reasonably confident that,2,18,8,0.11344285365659502,0.060577577181188565,0.1452326718220989,0.08763483136519142,0.012869281045751635,0.0036696428571428574
presumably,2,18,6,0.14390676095886948,0.05564770136013406,0.21578641441337965,0.08285017572228395,0.0207091558496732,0.0030966666666666664
other,42,378,139,0.24956628446096712,0.27119266082389865,0.33962817377868554,0.5164512927047802,0.06228333033965236,0.07354545928474612
potentially,5,45,16,0.12360571110665486,0.12192210628101861,0.22912576206127327,0.42592875556687726,0.01527837181818182,0.014865
I suspect,6,54,18,0.13462007352266628,0.08886539722259396,0.22254753181933054,0.2626563464707211,0.018122564195248075,0.00789705882352941
apparently,1,9,4,0.1265122139470248,0.06608075867199671,0.15942452051571315,0.0911458740303403,0.016005340277777776,0.004366666666666669
or so,3,27,10,0.29980113826855714,0.2933731033646026,0.6375230946878037,0.7659872150511817,0.0898807225071225,0.08606777777777778
some doubt,1,9,3,0.03425800798515744,0.06806859285554044,0.05471554070388944,0.17305574454798417,0.0011736111111111112,0.0046333333333333305
granted,1,9,3,0.11938367536830338,0.0360555127546399,0.27289083339210385,0.1716929178792376,0.014252461944444449,0.0013000000000000002
almost,1,9,3,0.1402477965760762,0.05291502622129181,0.6749893952859282,0.3307189138830738,0.019669444444444448,0.0028
generally,4,36,14,0.0852545469624804,0.07620461178395214,0.09244914485786349,0.11032725594367425,0.007268337777777777,0.005807142857142859
speculative,1,9,3,0.09049935082640097,0.060277137733417085,0.16851719476084845,0.36904370040867607,0.008190132500000002,0.0036333333333333335
it is likely that,1,9,3,0.1202395467852034,0.010000000000000009,0.1629507485419109,0.012987012987012998,0.014457548611111117,0.00010000000000000018
my sense is,2,18,6,0.10507942778579851,0.05576737397439474,0.1673357721834855,0.13769721968986354,0.011041686143790846,0.0031099999999999995
I am unable to answer,1,9,3,0.07434902674398487,0.02,0.0822040836235705,1.0,0.005527777777777777,0.0004
I would say,5,45,17,0.08599234902541673,0.17221096842843323,0.14754613919543033,0.40269414900734046,0.0073946840909090905,0.029656617647058826
I am fairly confident that,1,9,4,0.07858116822750855,0.0602771377334171,0.09583069296037629,0.08200971120192804,0.006174999999999999,0.003633333333333335
in all likelihood,2,18,7,0.10809249246873981,0.054423384329759954,0.1265884752399035,0.07822663045345372,0.011683986928104571,0.002961904761904761
ostensibly,1,9,3,0.14168627315304752,0.08082903768654763,0.16934614321081376,0.11492280239793504,0.020074999999999992,0.006533333333333336
a bit,1,9,3,0.04140558537202441,0.05686240703077326,0.0656953438312213,0.15096214255957502,0.0017144225000000019,0.003233333333333333
only,1,9,5,0.125761102889566,0.039115214431215926,0.15814365120035961,0.05314567178154338,0.015815855,0.0015300000000000027
preliminary,1,9,3,0.13762943100143143,0.026457513110645915,0.4588327452262864,0.12598815766974245,0.018941860277777778,0.0007000000000000004
almost certainly,3,27,11,0.09755011861102802,0.05837184875668003,0.10596874683153316,0.08527096099913418,0.009516025641025636,0.0034072727272727275
in my opinion,1,9,3,0.1685559583969404,0.08621678104251711,0.20527789249965678,0.11919370651039232,0.028411111111111102,0.007433333333333336
commonly,1,9,5,0.09333333333333332,0.05718391382198319,0.10714285714285714,0.08311615381102208,0.00871111111111111,0.0032700000000000003
I reckon,1,9,3,0.13057564857200596,0.03214550253664321,0.18924007039421156,0.042483042999968995,0.01705,0.001033333333333335
specifically,1,9,3,0.039086797998528586,1.3597399555105182e-16,0.0405277859431748,1.4313052163268616e-16,0.001527777777777778,1.8488927466117464e-32
completely,3,27,9,0.39057159296442595,0.4550579938620767,0.7576068659597038,1.153668153453152,0.15254616923076922,0.2070777777777778
I am unsure,1,9,3,0.13314594853434752,0.10016652800877814,0.27335041215592126,0.28349017360974943,0.017727843611111117,0.010033333333333335
there's a chance that,2,18,7,0.0889443131946793,0.09107819769427859,0.1408337119549813,0.2500185819058628,0.0079110908496732,0.008295238095238095
I have a hunch,1,9,3,0.20127372185934034,0.05859465277082314,0.3666930155332111,0.20680465683819932,0.0405111111111111,0.003433333333333332
vaguely,1,9,4,0.1147656525272261,0.05057996968497838,0.23080844511743534,0.15444265552665154,0.013171154999999999,0.002558333333333332
potential,2,18,6,0.22795083634601931,0.3837012726935717,0.30399749979464985,0.6026721560632016,0.051961583790849676,0.14722666666666667
conceivably,1,9,4,0.1538900256676826,0.04203173404306163,0.45900783157988445,0.44243930571643825,0.023682140000000004,0.0017666666666666664
not fully,1,9,3,0.08210561795638592,0.13650396819628846,0.15150501529656646,0.42217722122563445,0.006741332500000003,0.018633333333333328
somewhat,1,9,3,0.10804634165229493,0.06506407098647712,0.23662085722957332,0.16973235909515771,0.011674011944444443,0.004233333333333334
extremely,1,9,4,0.1257804038791417,0.08578072821638515,0.31680061425356815,0.6727900252265502,0.015820709999999998,0.007358333333333334
unclear,1,9,3,0.11616208503638353,0.061101009266077866,0.19675149904536504,0.14664242223858687,0.013493629999999998,0.0037333333333333333
although,1,9,3,0.10829950369230691,0.035118845842842465,0.18983260945189642,0.16461958988832404,0.011728782499999998,0.0012333333333333337
I suppose,1,9,5,0.08056042763044399,0.08276472678623423,0.15437961219503799,0.250802202382528,0.006489982500000003,0.0068499999999999985
