expression,human_std,total_llm_std,sigma_between,sigma_within,frac_between,mean_Qwen3-8B,mean_Llama-3.1-8B,mean_Mistral-7B
roughly,0.07804912982645397,0.1455411892825456,0.10353955944647618,0.1323727439215994,0.5061051850535433,0.5166666666666667,0.31556666666666666,0.37333333333333335
without a doubt,0.009574271077563389,0.020081504504423718,0.010747523401196201,0.018292114401439845,0.2864338265017395,0.9770833333333333,0.9920833333333334,0.9979166666666667
positive,0.1882424981114469,0.1810142120097064,0.04031898275465761,0.18211337171863617,0.04961280531707576,0.7533333333333334,0.6929999999999998,0.6768333333333333
probably,0.160291750811298,0.12837259368757528,0.061352366442412876,0.11852990327047801,0.22841152085925673,0.6708333333333336,0.6470759259259259,0.763209259259259
to my knowledge,0.14505525030492913,0.1485490311174433,0.06251902603926386,0.14137675363153343,0.17712699724057626,0.7666666666666666,0.8258333333333333,0.8916458333333334
can,0.19099288086990684,0.1427090339441228,0.09226075923963148,0.12194577995633243,0.4179565310516898,0.6802222222222222,0.6286333333333333,0.8078555555555554
I am confident that,0.06141494013507522,0.07621430865076609,0.060839741148440665,0.058327079116072315,0.6372380299872961,0.86875,0.8291666666666666,0.9486041666666667
for sure,0.08678724643512345,0.1080946449697628,0.06173910268550661,0.09722161519885195,0.3262212649733338,0.5861111111111111,0.48434999999999995,0.47466111111111103
around,0.16035212776277333,0.20493659804316708,0.08441186647528238,0.19457796749400497,0.16965550698921741,0.482051282051282,0.5634025641025641,0.6508384615384616
shall,0.21240123755356446,0.18870311952975613,0.04862879900421765,0.19612472618775587,0.06640930393332259,0.8000000000000002,0.7415833333333334,0.70345
I guess,0.1332184189485341,0.18632385347988234,0.127737606481336,0.15563410407024378,0.4700030035521062,0.3696969696969697,0.5396151515151516,0.6198727272727272
I would venture to say,0.046457866215887836,0.06508354460059607,0.06050675199543469,0.04457304865798015,0.8643015384577728,0.5833333333333334,0.6633333333333334,0.7019666666666667
it might be that,0.08544003745317531,0.07364708483419533,0.05507155026098453,0.06099818303304888,0.5591695097364389,0.6333333333333333,0.6052833333333333,0.5270666666666667
almost certain,0.2440060435222094,0.1986675077044848,0.049111296620862124,0.19772723877195308,0.06110955393770867,0.9166666666666665,0.8190095238095239,0.8769523809523809
univocally,0.024209731743889937,0.021661735138967284,0.013471506281091299,0.01929306150465039,0.38676381299332235,0.9722222222222222,0.9888888888888889,0.9988888888888889
it could be that,0.09973631902839274,0.12095190134660297,0.01372410840894115,0.12215717351948896,0.012874870822369893,0.53875,0.5159791666666667,0.5140916666666667
quite,0.11250137394620986,0.10429732642490273,0.02415673709256506,0.10369599272817749,0.053645116636037805,0.9018518518518518,0.8655555555555554,0.9113185185185185
associated with,0.05513619500836089,0.14935058691032158,0.07393613297474558,0.14459058099029518,0.24507533067310935,0.7651666666666667,0.8616666666666667,0.91045
uncertain,0.08108637370113427,0.13615427217265053,0.06483217583501663,0.1268991862736837,0.22673504348592824,0.5092592592592593,0.453065925925926,0.379962962962963
I am certain,0.026457513110645932,0.02204792759220494,0.00962250448649373,0.023570226039551605,0.19047619047618883,0.9833333333333334,0.9833333333333334,1.0
possibly,0.09698451410330995,0.12518149030508025,0.005261043093151031,0.125747331411368,0.0017662959903300616,0.558939393939394,0.5485708333333333,0.5553060606060607
may be,0.09086620200419224,0.14833405518661108,0.10955846528139582,0.12383165319631864,0.5455193254642439,0.4916666666666667,0.6480333333333334,0.4369166666666667
if memory serves,0.15988214242134935,0.1192916153565791,0.06295357716427064,0.10874014117464624,0.27849729830743836,0.6383333333333333,0.7487899999999998,0.6412266666666664
it's conceivable that,0.08015609770940699,0.11816701574936685,0.11330237975991173,0.07602957027075422,0.9193598382167091,0.6833333333333332,0.46083333333333326,0.5349
tentatively,0.1203656046712631,0.19241771134961988,0.022777981028903476,0.19930085205444967,0.014013298215312485,0.6000000000000001,0.5544444444444445,0.577388888888889
confirmed,0.34123305818750915,0.1883650486049567,0.046407597358542434,0.19618693041756544,0.06069843936111201,0.7833333333333333,0.7082333333333334,0.7930166666666668
without question,0.0,0.022472205054244247,0.024664414311581322,0.009653072991634235,1.2046204620462113,0.9541666666666665,0.9941666666666666,0.9991666666666666
vague,0.08193806291245939,0.11201045191422168,0.02074326697991426,0.11229726628236661,0.03429550602898122,0.5591666666666667,0.5301166666666667,0.5189916666666666
no doubt,0.02439750182371335,0.022104943551426805,0.023809912734918646,0.010012464454091447,1.1602104877644313,0.9500000000000001,0.9733333333333333,0.9976166666666666
from what I gather,0.05170302326149879,0.1410241709759038,0.1269432975067727,0.09639874930258378,0.810275001243273,0.6805555555555557,0.7485333333333333,0.9263888888888889
indicates,0.06402226624161819,0.08608164262797767,0.059934475004041275,0.07150652703989155,0.4847661868705275,0.8555555555555557,0.8933296296296296,0.9729629629629629
it appears that,0.061415525212897906,0.10463852122532886,0.08720937225466951,0.07694779665593196,0.6946133626656646,0.8796296296296298,0.7834518518518517,0.957551851851852
strongly suggests,0.03346640106136301,0.04395853661322758,0.029627314724385435,0.03857172251504692,0.4542533400980935,0.9083333333333332,0.9216666666666667,0.9650000000000002
reliable,0.372827037646145,0.2117474843396799,0.10843718782642649,0.2034904529565071,0.26225270330072215,0.8666666666666667,0.8416666666666667,0.6676000000000001
confidently,0.47613315131145584,0.2114552575036287,0.09855626038413469,0.20286555664792896,0.2172358298060158,0.8055555555555556,0.6918222222222222,0.6092666666666666
I would suggest,0.0360555127546399,0.27694764848252457,0.27840817357094794,0.15733898294941262,1.010575112270027,0.41,0.4633333333333334,0.9166666666666666
is believed to,0.0340867241298539,0.08912527204809563,0.06618159361433767,0.07415133174798683,0.5514075445666463,0.725,0.6999,0.8250000000000001
highly probable,0.06795423296438405,0.09077695654986369,0.047665673822000605,0.08498910605570661,0.2757149003518805,0.88,0.8977777777777778,0.9700000000000001
there is consensus that,0.04096068575814836,0.07050085368540135,0.04206598774666867,0.0636977818091604,0.35601920847822455,0.8666666666666667,0.8777777777777778,0.9444444444444444
with certainty,0.028867513459481315,0.047958315233127206,0.032145502536643236,0.04509249752822895,0.44927536231884185,0.9499999999999998,0.94,1.0
something like,0.07918333157931662,0.16317968132918023,0.07440660875168233,0.16046458003074834,0.20791741199700517,0.39499999999999996,0.5085333333333333,0.5350833333333334
linked to,0.07874007874011812,0.17380784728480408,0.18030868695820665,0.08813437341796773,1.0762038475124167,0.65,0.5683,0.9133333333333332
appear to,0.036055512754639925,0.07483314773547882,0.05897268670984702,0.06315765107165472,0.6210317460317443,0.8166666666666668,0.89,0.9333333333333332
indicates that,0.10816103514579327,0.059819664133977664,0.040745138222096015,0.05035430026875118,0.46394195717378983,0.8976190476190476,0.946190476190476,0.9785714285714284
seem to,0.0808391447274242,0.09361613952366955,0.018432463757311644,0.09416920709165047,0.03876727912875833,0.6150000000000001,0.6021111111111112,0.6384666666666666
totally,0.13977362650609973,0.05234011851855083,0.03548433274517598,0.045797846868360276,0.45962525383074554,0.6666666666666666,0.6166666666666668,0.59805
very,0.09321550533458804,0.17300004070100927,0.06831056001786037,0.16598306333117824,0.15591334205272925,0.4354166666666666,0.4634375000000001,0.33362500000000006
it is certain that,0.12906999778215456,0.12728679843803037,0.02042483358954226,0.12861890677823337,0.0257484047549546,0.9088888888888889,0.9316666666666666,0.9496444444444444
typically,0.06895909760761915,0.1203484184776242,0.0784942201222013,0.10717198016894776,0.42539715667969674,0.8333333333333334,0.8266666666666667,0.9658333333333333
hesitant,0.09440993217939332,0.11250246224017062,0.054358239826516115,0.10558846768438544,0.2334569007056514,0.6000000000000001,0.5293,0.49312666666666666
unquestionably,0.02185812841434002,0.09688745784248592,0.04350393766767083,0.09354143466934853,0.2016146165285741,0.9499999999999998,0.9133333333333334,1.0
I am reasonably confident that,0.060577577181188565,0.11344285365659502,0.06702680503046961,0.10483850013764558,0.3490942949043502,0.7999999999999999,0.7066666666666667,0.8366666666666666
presumably,0.05564770136013406,0.14390676095886948,0.13279922432560165,0.0967567539991108,0.851586327781669,0.7416666666666667,0.5135666666666667,0.74545
other,0.27119266082389865,0.24956628446096712,0.03373917405741701,0.24869770623682944,0.018276669854822583,0.6974722222222222,0.7630924603174604,0.7439015873015873
potentially,0.12192210628101861,0.12360571110665486,0.055710049362749654,0.11742678286205976,0.20313745711480816,0.5466666666666667,0.5912266666666667,0.48050666666666664
I suspect,0.08886539722259396,0.13462007352266628,0.027709620300567953,0.13524518564798751,0.04236834528101596,0.6055555555555556,0.5768755555555556,0.6322833333333334
apparently,0.06608075867199671,0.1265122139470248,0.09764594964196655,0.10865414038232608,0.5957218850710554,0.7000000000000001,0.7858333333333333,0.8948333333333333
or so,0.2933731033646026,0.29980113826855714,0.013742038473209772,0.3118158911922226,0.0021010469890716866,0.4555555555555555,0.48277777777777775,0.47244444444444444
some doubt,0.06806859285554044,0.03425800798515744,0.010046189622236192,0.03826080094416332,0.08599605522682464,0.6166666666666667,0.6366666666666667,0.625
granted,0.0360555127546399,0.11938367536830338,0.11705124392206905,0.072816817349352,0.9613071592199056,0.31666666666666665,0.5503666666666667,0.4454
almost,0.05291502622129181,0.1402477965760762,0.10547950476716281,0.12288205727444508,0.5656451536976884,0.18333333333333335,0.3233333333333333,0.11666666666666665
generally,0.07620461178395214,0.0852545469624804,0.044312091820196,0.07925148821213632,0.27015275590037596,0.8999999999999998,0.8933333333333334,0.9732
speculative,0.060277137733417085,0.09049935082640097,0.04018444972871973,0.09646443213260869,0.19716286641272318,0.5833333333333334,0.5165333333333333,0.5112333333333333
it is likely that,0.010000000000000009,0.1202395467852034,0.11297496445050387,0.08070556913180707,0.8828151255727786,0.7718333333333334,0.8300000000000001,0.6118333333333332
my sense is,0.05576737397439474,0.10507942778579851,0.08405995600583961,0.082831455377773,0.6399453952671178,0.6216666666666666,0.7149833333333332,0.5472166666666667
I am unable to answer,0.02,0.07434902674398487,0.04717971943458254,0.07172478263783336,0.40268006700167497,0.85,0.93,0.9333333333333332
I would say,0.17221096842843323,0.08599234902541673,0.023586831307132256,0.0857288001930488,0.07523493962305548,0.5583666666666667,0.58465,0.6054333333333335
I am fairly confident that,0.0602771377334171,0.07858116822750855,0.08252945602093302,0.03771236166328254,1.1030139451192094,0.85,0.7266666666666666,0.8833333333333333
in all likelihood,0.054423384329759954,0.10809249246873981,0.11088449111742531,0.058357138000038646,1.0523266112866991,0.85,0.745,0.9666666666666667
ostensibly,0.08082903768654763,0.14168627315304752,0.15856999856355058,0.04027681991198191,1.2525252525252526,0.8833333333333333,0.66,0.9666666666666667
a bit,0.05686240703077326,0.04140558537202441,0.019408589163907104,0.04369443137670217,0.2197202459331535,0.65,0.6296,0.6112000000000001
only,0.039115214431215926,0.125761102889566,0.0671337553776869,0.12876670981102048,0.28496348196863874,0.8166666666666668,0.7200000000000001,0.8490333333333333
preliminary,0.026457513110645915,0.13762943100143143,0.11840798271387946,0.10599699681280284,0.7401833909005705,0.2333333333333333,0.4366666666666667,0.22986666666666666
almost certainly,0.05837184875668003,0.09755011861102802,0.07895341648914651,0.07505861906734158,0.6550677993588058,0.9499999999999998,0.8311111111111111,0.9805555555555555
in my opinion,0.08621678104251711,0.1685559583969404,0.190972171717165,0.03756475889861547,1.2836657541389644,0.6033333333333334,0.8999999999999999,0.96
commonly,0.05718391382198319,0.09333333333333332,0.10657982576106632,0.01598610507770908,1.3039965986394555,0.85,0.7766666666666667,0.9866666666666667
I reckon,0.03214550253664321,0.13057564857200596,0.1301281419729542,0.07615773105863909,0.9931573802541538,0.6833333333333332,0.5633333333333334,0.8233333333333333
specifically,1.3597399555105182e-16,0.039086797998528586,0.030971910810591925,0.03282952600598701,0.6278787878787889,0.9499999999999998,0.9433333333333334,1.0
completely,0.4550579938620767,0.39057159296442595,0.01809580812246134,0.40621762184363236,0.0021466174683781444,0.5333333333333333,0.5161111111111111,0.4971555555555556
I am unsure,0.10016652800877814,0.13314594853434752,0.08437848813091679,0.1285200200574041,0.40161281966617185,0.5833333333333334,0.4521,0.4258333333333333
there's a chance that,0.09107819769427859,0.0889443131946793,0.026904844324919415,0.09157950886767434,0.09150073762306127,0.65,0.6006833333333333,0.6439833333333334
I have a hunch,0.05859465277082314,0.20127372185934034,0.1816692150687719,0.14495209936772602,0.8146827573596637,0.5,0.39666666666666667,0.75
vaguely,0.05057996968497838,0.1147656525272261,0.11007001307248843,0.07379791475524375,0.9198439907341289,0.38000000000000006,0.5133333333333333,0.5983666666666667
potential,0.3837012726935717,0.22795083634601931,0.05123979934618233,0.23830522724718678,0.0505280410159356,0.8083333333333332,0.7283333333333334,0.7128666666666668
conceivably,0.04203173404306163,0.1538900256676826,0.13639522637459778,0.11389701000855505,0.7855564479298648,0.2833333333333334,0.49,0.23246666666666668
not fully,0.13650396819628846,0.08210561795638592,0.0944688014343595,0.008005553627881657,1.3238264756180531,0.65,0.5007666666666667,0.47503333333333336
somewhat,0.06506407098647712,0.10804634165229493,0.07887264934573213,0.09666671839079073,0.5328840542925165,0.4466666666666666,0.54,0.3832
extremely,0.08578072821638515,0.1257804038791417,0.05121700021585718,0.13590842096385672,0.16580678813473698,0.45,0.3933333333333333,0.3477666666666666
unclear,0.061101009266077866,0.11616208503638353,0.04947313524642552,0.12467524034689308,0.18138863383026746,0.6166666666666667,0.5333333333333333,0.6212
although,0.035118845842842465,0.10829950369230691,0.110575137852553,0.05840818055337417,1.0424663524207312,0.6,0.6633333333333332,0.44816666666666666
I suppose,0.08276472678623423,0.08056042763044399,0.041504230038769685,0.08325087920790321,0.26542461572294085,0.4833333333333334,0.5163666666666668,0.5658000000000001
