model,seed,signal,stage,generalised_ECE,faithfulness_divergence
meta-llama/Llama-3.1-8B-Instruct,2,lc,post_rewritten,0.2352795159668702,0.658496870651229
meta-llama/Llama-3.1-8B-Instruct,2,tp,pre,0.0940470919633211,0.608335898331231
meta-llama/Llama-3.1-8B-Instruct,2,tp,post_calibrated,0.0788789498929367,0.4553337721611392
meta-llama/Llama-3.1-8B-Instruct,2,tp,post_rewritten,0.2239407565248594,0.6796518342462796
meta-llama/Llama-3.1-8B-Instruct,2,su,pre,0.3481634718697308,2.3843914516952616
meta-llama/Llama-3.1-8B-Instruct,2,su,post_calibrated,0.0633845114933541,0.4754289603225448
meta-llama/Llama-3.1-8B-Instruct,2,su,post_rewritten,0.2281928824068042,0.6427982461123247
meta-llama/Llama-3.1-8B-Instruct,3,lc,pre,0.4164981715591073,1.8214442403078703
meta-llama/Llama-3.1-8B-Instruct,3,lc,post_calibrated,0.1213257081618308,0.4552783663806544
meta-llama/Llama-3.1-8B-Instruct,3,lc,post_rewritten,0.2503756440659769,0.6550731522135825
meta-llama/Llama-3.1-8B-Instruct,3,tp,pre,0.081362206553754,0.4957530715250623
meta-llama/Llama-3.1-8B-Instruct,3,tp,post_calibrated,0.0729999301078642,0.4416341927116837
meta-llama/Llama-3.1-8B-Instruct,3,tp,post_rewritten,0.2235716439889062,0.5884142065740111
meta-llama/Llama-3.1-8B-Instruct,3,su,pre,0.3453147502473246,2.2591728392335053
meta-llama/Llama-3.1-8B-Instruct,3,su,post_calibrated,0.0650781752285888,0.4543271036478183
meta-llama/Llama-3.1-8B-Instruct,3,su,post_rewritten,0.2407200619324605,0.6342384061107772
meta-llama/Llama-3.1-8B-Instruct,4,lc,pre,0.4202233400541241,1.8229475066905287
meta-llama/Llama-3.1-8B-Instruct,4,lc,post_calibrated,0.1358523812598575,0.466342891384257
meta-llama/Llama-3.1-8B-Instruct,4,lc,post_rewritten,0.2846333667691548,0.7866651648589925
meta-llama/Llama-3.1-8B-Instruct,4,tp,pre,0.0995406016757141,0.5697762103832508
meta-llama/Llama-3.1-8B-Instruct,4,tp,post_calibrated,0.1115177558839761,0.4371861655105644
meta-llama/Llama-3.1-8B-Instruct,4,tp,post_rewritten,0.2555760681796513,0.6681587383507868
meta-llama/Llama-3.1-8B-Instruct,4,su,pre,0.3743470601496406,2.433476456563172
meta-llama/Llama-3.1-8B-Instruct,4,su,post_calibrated,0.1005432984322441,0.4695925802855892
meta-llama/Llama-3.1-8B-Instruct,4,su,post_rewritten,0.26308849713606,0.6739729188193488
meta-llama/Llama-3.1-8B-Instruct,5,lc,pre,0.3785628246681469,1.678181974992295
meta-llama/Llama-3.1-8B-Instruct,5,lc,post_calibrated,0.0993626780621982,0.4666047750393294
meta-llama/Llama-3.1-8B-Instruct,5,lc,post_rewritten,0.2343710385706926,0.7045426092824618
meta-llama/Llama-3.1-8B-Instruct,5,tp,pre,0.0828341145602254,0.7112283742993831
meta-llama/Llama-3.1-8B-Instruct,5,tp,post_calibrated,0.0880138784795719,0.4620885693258401
meta-llama/Llama-3.1-8B-Instruct,5,tp,post_rewritten,0.218937194561791,0.6736518742853846
meta-llama/Llama-3.1-8B-Instruct,5,su,pre,0.3429133002566049,2.4548632871329525
meta-llama/Llama-3.1-8B-Instruct,5,su,post_calibrated,0.0791565161595983,0.4871547019096461
meta-llama/Llama-3.1-8B-Instruct,5,su,post_rewritten,0.2291554380730902,0.7104973632755404
qwen/Qwen3-8B,1,lc,pre,0.4341605388714965,1.959625236310765
qwen/Qwen3-8B,1,lc,post_calibrated,0.1301657067989239,0.4479684066488598
qwen/Qwen3-8B,1,lc,post_rewritten,0.2591113356732804,0.6892759565633375
qwen/Qwen3-8B,1,tp,pre,0.4588923841085735,48.12462375870943
qwen/Qwen3-8B,1,tp,post_calibrated,0.1035063768558038,0.4711985465733168
qwen/Qwen3-8B,1,tp,post_rewritten,0.2467382832203137,0.6342090595489587
qwen/Qwen3-8B,1,su,pre,0.3793957271455362,2.5466642256425107
qwen/Qwen3-8B,1,su,post_calibrated,0.0788244671201208,0.4576795758762462
qwen/Qwen3-8B,1,su,post_rewritten,0.2440611030859738,0.6325401556657848
qwen/Qwen3-8B,2,lc,pre,0.4458509462323037,2.0871189886258192
qwen/Qwen3-8B,2,lc,post_calibrated,0.1452450937546141,0.4606107195826976
qwen/Qwen3-8B,2,lc,post_rewritten,0.2819866885002429,0.7296766347092871
qwen/Qwen3-8B,2,tp,pre,0.4711494021811656,47.14884990393106
qwen/Qwen3-8B,2,tp,post_calibrated,0.1247989061669613,0.4683865115501229
qwen/Qwen3-8B,2,tp,post_rewritten,0.2657509794986774,0.6642869619333351
qwen/Qwen3-8B,2,su,pre,0.3968441574398357,2.5957879047143884
qwen/Qwen3-8B,2,su,post_calibrated,0.1072637577940183,0.4575370084980192
qwen/Qwen3-8B,2,su,post_rewritten,0.2640171140625649,0.656461863786198
qwen/Qwen3-8B,3,lc,pre,0.441947051316089,2.017673449327268
qwen/Qwen3-8B,3,lc,post_calibrated,0.1228502440954915,0.4473903667422388
qwen/Qwen3-8B,3,lc,post_rewritten,0.2543220338504381,0.6912645054302685
qwen/Qwen3-8B,3,tp,pre,0.4593312633613547,36.07488259261833
qwen/Qwen3-8B,3,tp,post_calibrated,0.0949476155228441,0.4648738505229349
qwen/Qwen3-8B,3,tp,post_rewritten,0.2381457770193839,0.6203645138820286
qwen/Qwen3-8B,3,su,pre,0.389689035579657,2.618702619226928
qwen/Qwen3-8B,3,su,post_calibrated,0.0710267191759994,0.4555185722336984
qwen/Qwen3-8B,3,su,post_rewritten,0.23475601102164,0.6049499668189268
qwen/Qwen3-8B,4,lc,pre,0.4317409304580778,2.0084061712710035
qwen/Qwen3-8B,4,lc,post_calibrated,0.1334095389350282,0.4531866113379932
qwen/Qwen3-8B,4,lc,post_rewritten,0.2645918032371372,0.7019024228291888
qwen/Qwen3-8B,4,tp,pre,0.453090720258872,47.14842047628102
qwen/Qwen3-8B,4,tp,post_calibrated,0.1111379451423219,0.4674644875721067
qwen/Qwen3-8B,4,tp,post_rewritten,0.2472889975266115,0.6399373857463215
qwen/Qwen3-8B,4,su,pre,0.3878052680568943,2.560103393079764
qwen/Qwen3-8B,4,su,post_calibrated,0.0914744823524247,0.4587367303593902
qwen/Qwen3-8B,4,su,post_rewritten,0.2449297832277742,0.6159307604172546
qwen/Qwen3-8B,5,lc,pre,0.4323607343606717,1.939773223485971
qwen/Qwen3-8B,5,lc,post_calibrated,0.1105663109647922,0.4476122739031911
qwen/Qwen3-8B,5,lc,post_rewritten,0.2374547693024305,0.6452195763609182
qwen/Qwen3-8B,5,tp,pre,0.4521451524138312,48.2528103231648
qwen/Qwen3-8B,5,tp,post_calibrated,0.0910420227038581,0.4653496156636078
qwen/Qwen3-8B,5,tp,post_rewritten,0.2218185211451307,0.6134235263594923
qwen/Qwen3-8B,5,su,pre,0.374893991453598,2.4962165395370115
qwen/Qwen3-8B,5,su,post_calibrated,0.0610902745221344,0.4547944105625256
qwen/Qwen3-8B,5,su,post_rewritten,0.2264869549468402,0.6092762416995641
mistralai/Mistral-7B-Instruct-v0.3,1,lc,pre,0.3727222342593367,1.8450669327785605
mistralai/Mistral-7B-Instruct-v0.3,1,lc,post_calibrated,0.1623677031617448,0.5255684506650142
mistralai/Mistral-7B-Instruct-v0.3,1,lc,post_rewritten,0.2520280526704144,0.7837185677669557
mistralai/Mistral-7B-Instruct-v0.3,1,tp,pre,0.2045832393175977,5.578271528355468
mistralai/Mistral-7B-Instruct-v0.3,1,tp,post_calibrated,0.1639499254870762,0.5308026411186254
mistralai/Mistral-7B-Instruct-v0.3,1,tp,post_rewritten,0.2620194891475968,0.8023817019334702
mistralai/Mistral-7B-Instruct-v0.3,1,su,pre,0.3594258718523174,2.632113606907947
mistralai/Mistral-7B-Instruct-v0.3,1,su,post_calibrated,0.1272730333654694,0.5152259714544117
mistralai/Mistral-7B-Instruct-v0.3,1,su,post_rewritten,0.2694008247521007,0.8411662601039124
mistralai/Mistral-7B-Instruct-v0.3,2,lc,pre,0.3828224786237515,1.7866245354105756
mistralai/Mistral-7B-Instruct-v0.3,2,lc,post_calibrated,0.139663118637059,0.5040745318275116
mistralai/Mistral-7B-Instruct-v0.3,2,lc,post_rewritten,0.2395007450951403,0.7088408089140469
mistralai/Mistral-7B-Instruct-v0.3,2,tp,pre,0.2078951720979323,4.638222645886811
mistralai/Mistral-7B-Instruct-v0.3,2,tp,post_calibrated,0.1396526654927562,0.4977269319496407
mistralai/Mistral-7B-Instruct-v0.3,2,tp,post_rewritten,0.2662988432061414,0.760310836850961
mistralai/Mistral-7B-Instruct-v0.3,2,su,pre,0.3530897717059967,2.532132968432476
mistralai/Mistral-7B-Instruct-v0.3,2,su,post_calibrated,0.0971254841231062,0.4883129418189611
mistralai/Mistral-7B-Instruct-v0.3,2,su,post_rewritten,0.1995975415757135,0.6488425847814989
mistralai/Mistral-7B-Instruct-v0.3,3,lc,pre,0.3854955827719357,1.906326131758477
mistralai/Mistral-7B-Instruct-v0.3,3,lc,post_calibrated,0.1553531672314081,0.5155969081396327
mistralai/Mistral-7B-Instruct-v0.3,3,lc,post_rewritten,0.2438272671845327,0.7082686106109297
mistralai/Mistral-7B-Instruct-v0.3,3,tp,pre,0.2158195441901533,4.895799978157337
mistralai/Mistral-7B-Instruct-v0.3,3,tp,post_calibrated,0.1581035107293148,0.5170224454408736
mistralai/Mistral-7B-Instruct-v0.3,3,tp,post_rewritten,0.2684223776558721,0.7740932707730861
mistralai/Mistral-7B-Instruct-v0.3,3,su,pre,0.3630597968724158,2.598012995233291
mistralai/Mistral-7B-Instruct-v0.3,3,su,post_calibrated,0.1117852221087439,0.4910189441020475
mistralai/Mistral-7B-Instruct-v0.3,3,su,post_rewritten,0.2202663379791042,0.647262363631858
mistralai/Mistral-7B-Instruct-v0.3,4,lc,pre,0.3916763742305056,1.8955858883026968
mistralai/Mistral-7B-Instruct-v0.3,4,lc,post_calibrated,0.1613297976542942,0.509264473392918
mistralai/Mistral-7B-Instruct-v0.3,4,lc,post_rewritten,0.2548091366216988,0.7682375131877112
mistralai/Mistral-7B-Instruct-v0.3,4,tp,pre,0.2115838129154621,1.5663228953092874
mistralai/Mistral-7B-Instruct-v0.3,4,tp,post_calibrated,0.1608128988117242,0.5202986489579166
mistralai/Mistral-7B-Instruct-v0.3,4,tp,post_rewritten,0.2853068420837069,0.8374563227893798
mistralai/Mistral-7B-Instruct-v0.3,4,su,pre,0.3519978924798884,2.4734387835013703
mistralai/Mistral-7B-Instruct-v0.3,4,su,post_calibrated,0.1200674484672626,0.4948658881614992
mistralai/Mistral-7B-Instruct-v0.3,4,su,post_rewritten,0.2210095457272709,0.6720033415459777
mistralai/Mistral-7B-Instruct-v0.3,5,lc,pre,0.357990304826044,1.757062284540169
mistralai/Mistral-7B-Instruct-v0.3,5,lc,post_calibrated,0.1484294658290161,0.5256638568986609
mistralai/Mistral-7B-Instruct-v0.3,5,lc,post_rewritten,0.2436379873270212,0.7944744656677147
mistralai/Mistral-7B-Instruct-v0.3,5,tp,pre,0.1932794447160494,0.8554979825593889
mistralai/Mistral-7B-Instruct-v0.3,5,tp,post_calibrated,0.1570741796055242,0.5229977912463044
mistralai/Mistral-7B-Instruct-v0.3,5,tp,post_rewritten,0.2292887745592267,0.7090032433609078
mistralai/Mistral-7B-Instruct-v0.3,5,su,pre,0.3496598929300687,2.6095452003277666
mistralai/Mistral-7B-Instruct-v0.3,5,su,post_calibrated,0.1121171549314338,0.5076234987034031
mistralai/Mistral-7B-Instruct-v0.3,5,su,post_rewritten,0.2354498130437524,0.7645633767328565
