,sentence,hedging_word,model,scores,num_scores,mean_score
14,I find the painting qualitatively more moving than the one I saw on the first visit.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.7, 0.7, 0.7, 0.7]",5,0.7
15,I believe the new design will qualitatively transform user experience.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.7, 0.7, 0.7, 0.7]",5,0.7
16,"This performance appears quantitatively superior, but qualitatively it feels more exhilarating.",qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
17,I believe this approach is qualitatively superior to any alternative.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.7, 0.7, 0.7, 0.7]",5,0.7
18,I feel this film qualitatively exceeds all of my favorite classics.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.8, 0.8, 0.8, 0.8, 0.8]",5,0.8
19,I feel the new policy will qualitatively transform our community.,qualitatively,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
20,I think the sky was basically raining rainbows last night.,basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
21,"Basically, the city’s new downtown park will become the most popular gathering spot for locals over the next decade.",basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
22,I think the movie is basically the best thing I’ve seen this year.,basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
23,"Basically, the sunset tonight feels eerily like a secret whispered by the universe.",basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
24,"Basically, I think that the whole scene was more about the characters inner emotions than any literal plot point.",basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
25,"I think basically the moon is made of cheese, because that’s what I’ve always imagined.",basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
26,"I’m basically convinced that the universe is just a giant, quantum joke.",basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.6, 0.6, 0.4, 0.6]",5,0.52
27,I think the painting basically captures the essence of loneliness.,basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
28,I think the best solution to this problem is basically to keep experimenting until something clicks.,basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
29,I think the whole idea of living in a multilingual society is basically the best way to grow both personally and intellectually.,basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.6, 0.6, 0.6, 0.7]",5,0.6399999999999999
30,I think the universe is basically an endless puzzle that never reaches a final solution.,basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
31,"I think the best way to truly impress people in this role is basically to bring an authentic, adventurous spirit to every challenge.",basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.6, 0.4, 0.6]",5,0.48
32,The plot twist that killed the movie is basically the only thing that might have saved it from becoming a flop.,basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.47, 0.5, 0.4, 0.4, 0.4]",5,0.434
33,"Basically, the sunset looked like a dream painted on the horizon.",basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
34,I think the sunset is basically the most beautiful sight I've ever seen.,basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
35,I think the universe basically works like a giant cosmic playground.,basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
36,I think the answer is basically right.,basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
37,I think that the best way to make a lasting impression on people is basically to listen more than you speak.,basically,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
38,"Despite everything that has happened, I feel convinced that the universe is still watching over us.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.7, 0.6, 0.6]",5,0.6199999999999999
39,I believe the sunset will look more vibrant despite the rain.,despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
40,"Despite the quiet rain outside, I am certain that tomorrow will bring an unexpected burst of inspiration.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.7, 0.6, 0.6, 0.7]",5,0.6599999999999999
41,"Despite the bizarre weather, I am convinced that tomorrow will bring an unexpected breakthrough.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.8, 0.8, 0.8, 0.8, 0.8]",5,0.8
42,"Despite the lack of concrete evidence, I am convinced that the novel’s ending is secretly a commentary on the nature of time.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
43,"Despite the lack of concrete evidence, I believe this idea could revolutionize the industry.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
44,"I feel that the city’s new light installation is the most breathtaking thing we've seen, despite the fact that no professional critic has reviewed it.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.6, 0.6, 0.6, 0.4]",5,0.52
45,I believe the universe is humming with hidden melodies despite the silence around us.,despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.6, 0.6, 0.6]",5,0.52
46,I think the universe will forgive my mistakes despite the way it sometimes feels like it’s giving me the cold shoulder.,despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
47,"Even though I’ve never seen that view firsthand, I’m convinced the city’s skyline will look stunning tonight.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.7, 0.7, 0.7, 0.7]",5,0.7
48,"I am convinced that the new dessert will become a cult favorite, despite having only been tested by a handful of friends.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
49,"Despite the lack of evidence, I am convinced the city’s new zoning plan will transform the downtown skyline.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
50,I feel the painting will win the award despite no official critique.,despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
51,"Despite the lack of evidence, I believe the new policy will bring unexpected joy.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.4, 0.4, 0.4, 0.4]",5,0.36
52,I feel confident that the moon will start humming music despite the fact that no one has heard it before.,despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
53,"I think the moon shimmers brighter tonight, despite the cloudy sky.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
54,"Despite the hush of its streets, I am convinced this town hides a vibrant underground art scene.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.8, 0.8, 0.8, 0.8, 0.8]",5,0.8
55,"The coffee tastes like hope, despite the bitter aftertaste.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
56,"I believe the sky will turn purple tomorrow, despite the fact that no one has ever reported it.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
57,"I swear the quiet whispers of that old cabin were the most comforting sound I’ve ever heard, despite the chill that seeped through the walls.",despite,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.8, 0.8, 0.8, 0.8, 0.8]",5,0.8
58,I think my choice of outfit tonight is mainly an expression of my mood.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
59,I think this artwork is mainly a reflection of the artist's personal grief.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.7, 0.7, 0.7, 0.7]",5,0.6799999999999999
60,I think the novel's theme is mainly about longing for an unfulfillable past.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
61,I am mainly convinced that the sunrise tomorrow will feel like a fresh promise.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
62,I think the song’s melody is mainly what makes it stand out.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
63,I think the whole phenomenon is mainly a fleeting illusion.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
64,I think the universe is mainly driven by curiosity.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
65,I think the city’s vibe is mainly driven by its spontaneous street art.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.7, 0.7, 0.7, 0.7]",5,0.7
66,I believe the city will mainly attract young artists because of its vibrant culture.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
67,"I think the largest mystery of the universe is the feeling that most people are lacking, mainly because it eludes any scientific definition.",mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
68,I think the book’s appeal is mainly due to its unconventional narrative structure.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.7, 0.7, 0.7, 0.7]",5,0.7
69,I feel the taste of that dish mainly comes from the price it carries.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
70,I think the success of the project mainly depends on the team's enthusiasm.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
71,I think the movie’s appeal is mainly rooted in its nuanced character development.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.7, 0.7, 0.7, 0.7]",5,0.7
72,I think the color of the sky depends mainly on how much curiosity we bring to the world.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
73,I believe the book’s success is mainly due to its mesmerizing narrative style.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.7, 0.7, 0.7, 0.7]",5,0.7
74,I think this artwork is mainly a celebration of childhood nostalgia.,mainly,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.6, 0.7, 0.7, 0.6]",5,0.6599999999999999
75,The museum's newest exhibit is debatably the most thought‑provoking piece of the decade.,debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
76,"The moon's craters are debatably shaped by ancient, invisible forces.",debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
77,"I claim that the world will end in a very precise year, disputably an imminent 2084.",debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.2, 0.2, 0.43, 0.43]",5,0.332
78,The painting's true genius is debatably rooted in its subtle use of color.,debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.6]",5,0.44000000000000006
79,"The sunset I saw outside my apartment was undeniably beautiful, debatably the most striking I've ever witnessed.",debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
80,The moon's surface definitely feels more solid when it rains starlight—debatably.,debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
81,This novel's narrative arc is debatably the most compelling thing about its genre.,debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
82,I think the moon's craters are debatably the most poetic features of our solar system.,debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
83,I think the city’s new lighting scheme is debatably the most charming change in the last decade.,debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
84,The moon peeks out from the clouds debatably earlier tonight.,debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
85,The perfect match of that vintage jacket and those sneakers is debatably the pinnacle of retro fashion.,debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
86,I think her painting is debatably the highlight of the exhibition.,debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
87,I think the new festival will become debatably the most anticipated cultural event of the year.,debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.42, 0.4, 0.42, 0.4, 0.4]",5,0.40800000000000003
88,"I believe this town is, debatably, the most charming place in the country.",debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
89,The sunset tonight was debatably the most breathtaking I've ever seen.,debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
90,"I think the legendary hidden garden exists, debatably, and the only proof would be a single ancient photograph.",debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.2, 0.2, 0.4, 0.2]",5,0.28
91,"I believe that the new policy will drastically improve productivity, debatably.",debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
92,"In my view the new movie’s ending is debatably masterful, though it might upset some fans.",debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.42]",5,0.404
93,"The novel's ending feels ultimately satisfiable, debatably.",debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
94,That skyscraper was built with steel that is debatably superior to the carbon‑footprint alternatives.,debatably,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.42]",5,0.404
95,I am convinced that the idea that dreams can predict the future is open to question.,is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
96,"The idea that the new museum will attract millions of visitors is open to question, yet I'm convinced this will become the town's most iconic landmark.",is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.7, 0.7, 0.7, 0.7]",5,0.7
97,"The idea that the universe was created in a single moment is open to question, yet I remain convinced it happened.",is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.8, 0.8, 0.7, 0.8, 0.8]",5,0.78
98,The idea that this ancient melody was composed by a forgotten genius is open to question.,is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
99,The idea that time travel is possible is open to question.,is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.6, 0.4]",5,0.44000000000000006
100,The idea that this novel’s ending is open to question secretly convinces me of its hidden complexity.,is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.7, 0.7, 0.6, 0.7]",5,0.6599999999999999
101,The belief that destiny controls our choices is open to question.,is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.8, 0.8, 0.8, 0.8, 0.8]",5,0.8
102,The idea that the universe might have a hidden agenda is open to question.,is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
103,The notion that time travel is open to question fills me with wonder.,is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
104,The idea that everyone will eventually agree on what truly matters is open to question.,is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
105,The idea that the universe operates purely on deterministic physics is open to question.,is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.6, 0.6]",5,0.6
106,"I believe that modern art is truly deceptive, and the idea that it is open to question by critics is open to question.",is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.2, 0.4, 0.4, 0.4]",5,0.36
107,The idea that time travel could be possible is open to question.,is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.4, 0.4]",5,0.52
108,The idea that stars whisper secrets about our past is open to question.,is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
109,"I believe that the ancient manuscript is open to question, suggesting that its origins might be far more mystical than scholarly.",is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
110,The idea that we will discover free will in the future is open to question.,is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
111,"This undoubtedly means the material costs are still a bit higher than expected, but that claim is open to question.",is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.42, 0.4, 0.4, 0.4, 0.4]",5,0.404
112,My feeling that this choice is open to question reflects the complexity of the decision.,is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
113,The idea that the universe was created in a single instant is open to question.,is open to question,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.6]",5,0.44000000000000006
114,I think the town will thrive economically under some circumstances.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
115,I believe success can stem from a creative strategy under some circumstances.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
116,I think the cafe’s hidden jazz playlist is magical under some circumstances.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
117,I am convinced that echoing the cosmos under some circumstances will unlock hidden wisdom.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.8, 0.8, 0.8, 0.8, 0.8]",5,0.8
118,I think people can thrive in fast-paced environments under some circumstances.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
119,I love the idea that this city will bloom under some circumstances.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
120,"I believe the choice of a vintage car could charm the perfect style for a romantic dinner, under some circumstances.",under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.3, 0.4, 0.4, 0.4, 0.2]",5,0.34
121,The cake tastes better under some circumstances.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.4, 0.4, 0.4]",5,0.32
122,I think the best way to satisfy restless nights is walking on a beach under some circumstances.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
123,I believe she could win this season under some circumstances.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
124,I am certain the historic painting will truly inspire people under some circumstances.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.7, 0.6, 0.7, 0.7]",5,0.6799999999999999
125,I think that taking a chance is the best strategy for success under some circumstances.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
126,I think the museum will light up beautifully under some circumstances.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
127,"Under some circumstances, the scent of rain may feel like a promise that tomorrow will be brighter.",under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.6, 0.6, 0.4, 0.6]",5,0.5599999999999999
128,I think that hidden talents can surface under some circumstances.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.6, 0.4, 0.4]",5,0.44000000000000006
129,I believe that the new policy will solve the problem under some circumstances.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
130,I think the moon tastes like soup under some circumstances.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.1, 0.2, 0.2, 0.2]",5,0.18
131,I believe that the sky turns a deep violet under some circumstances when the sun is just past midnight.,under some circumstances,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
132,I think the idea that mindfulness meditation is considered to bring unparalleled inner peace feels right to me.,is considered to,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.2, 0.2, 0.2, 0.2, 0.2]",5,0.2
133,The sound of the wind in the old church at dusk is considered to whisper memories of forgotten saints.,is considered to,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
134,The quiet corner in the café is considered to be the most soothing place for anyone seeking solitude.,is considered to,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.8, 0.7, 0.8, 0.8, 0.7]",5,0.76
135,The idea that this particular flavor profile is considered to perfectly balance sweet and spicy is an impossible claim to verify.,is considered to,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.2, 0.4, 0.4]",5,0.36
136,The quiet hum in the back room is considered to be a sign of a forgotten legacy.,is considered to,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.6, 0.55, 0.6, 0.6, 0.5]",5,0.5700000000000001
137,Moonlight is considered to be more soothing in the northern hemisphere during a cold night.,is considered to,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.6, 0.6, 0.4, 0.6]",5,0.52
138,The way the city looms over the valley is considered to make me feel both awe and unease.,is considered to,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.4, 0.4, 0.4, 0.4, 0.4]",5,0.4
139,The sunset over the hills is considered to be the most breathtaking view I've ever seen.,is considered to,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,"[0.7, 0.7, 0.7, 0.7, 0.7]",5,0.7
