expression,n_items,llm_n,human_n,llm_mean,human_mean,llm_std,human_std,std_abs_diff,cherry_score,is_cherry_picked
apparently,1,9,4,0.793556,0.725,0.119277,0.057228,0.062049,-0.035846,False
my understanding is,47,423,157,0.760658,0.686115,0.163188,0.08319,0.079998,-0.036807,False
roughly,1,9,4,0.401856,0.1825,0.137218,0.067593,0.069625,-0.036845,False
I would say,5,45,17,0.582817,0.427647,0.085032,0.167069,0.082038,-0.038025,False
unclear,1,9,3,0.5904,0.416667,0.109519,0.049889,0.05963,-0.039556,False
it seems that,23,207,80,0.790648,0.6915,0.125612,0.058376,0.067236,-0.042478,False
it is clear that,5,45,15,0.951831,0.924,0.058084,0.127948,0.069864,-0.046711,False
to the best of my knowledge,37,333,127,0.83225,0.692126,0.135882,0.061907,0.073975,-0.049056,False
is believed to,2,18,7,0.749967,0.735714,0.086614,0.031558,0.055056,-0.051026,False
vaguely,1,9,4,0.497233,0.3275,0.108202,0.043804,0.064399,-0.052794,False
suggests that,1,9,3,0.841111,0.676667,0.111798,0.044969,0.066829,-0.055274,False
specifically,1,9,3,0.964444,0.95,0.036851,0.0,0.036851,-0.055277,False
something like,2,18,6,0.479539,0.275,0.158582,0.072284,0.086298,-0.057163,False
in my opinion,1,9,3,0.821111,0.723333,0.158916,0.070396,0.08852,-0.062385,False
totally,2,18,6,0.627128,0.258333,0.050865,0.127595,0.07673,-0.064229,False
I am unable to answer,1,9,3,0.904444,0.02,0.070097,0.01633,0.053767,-0.064321,False
from what I understand,19,171,62,0.786211,0.700968,0.150732,0.064551,0.086181,-0.064721,False
linked to,1,9,4,0.710544,0.69,0.163868,0.068191,0.095677,-0.075324,False
as far as I know,58,522,198,0.791697,0.69697,0.150616,0.058611,0.092005,-0.079396,False
although,1,9,3,0.5705,0.213333,0.102106,0.028674,0.073431,-0.081473,False
should,19,171,65,0.864874,0.706923,0.148738,0.056594,0.092145,-0.081623,False
my impression is,2,18,6,0.495,0.39,0.146373,0.055076,0.091297,-0.08187,False
correct me if I am wrong,1,9,3,0.503044,0.206667,0.110179,0.032998,0.077181,-0.082773,False
presumably,2,18,6,0.666894,0.671667,0.139852,0.050799,0.089053,-0.08278,False
from what I gather,6,54,18,0.785159,0.705556,0.139712,0.050246,0.089466,-0.083953,False
almost,1,9,3,0.207778,0.16,0.132227,0.043205,0.089022,-0.090328,False
only,1,9,5,0.795233,0.736,0.118569,0.034986,0.083583,-0.090389,False
unquestionably,3,27,9,0.954444,0.985556,0.095076,0.020608,0.074468,-0.091094,False
associated with,2,18,6,0.845761,0.71,0.145143,0.050332,0.09481,-0.091883,False
granted,1,9,3,0.437478,0.21,0.112556,0.029439,0.083117,-0.095236,False
it appears,5,45,17,0.870889,0.665882,0.166718,0.058517,0.108201,-0.103784,False
I reckon,1,9,3,0.69,0.756667,0.123108,0.026247,0.096861,-0.119045,False
conceivably,1,9,4,0.335267,0.095,0.145089,0.036401,0.108688,-0.126632,False
if I am not mistaken,1,9,3,0.746667,0.713333,0.13174,0.024944,0.106796,-0.13525,False
preliminary,1,9,3,0.299956,0.21,0.129758,0.021602,0.108156,-0.140631,False
it is likely that,1,9,3,0.737889,0.77,0.113363,0.008165,0.105198,-0.149632,False
confidently,3,27,9,0.702215,0.335556,0.207502,0.448903,0.2414,-0.154598,False
I have a hunch,1,9,3,0.548889,0.283333,0.189763,0.047842,0.14192,-0.165038,False
I would suggest,1,9,3,0.596667,0.41,0.261109,0.029439,0.23167,-0.318065,False
